英単語,訳,発音記号（IPA）,解説
manual,手動の；手引書；マニュアル,ˈmænjuəl,"手でする,手細工の / 便覧,手引き,案内書 / (オルガンの)けん盤"
mar,擦り傷,mɑr,"…‘を'汚す,傷つける / 《文》…‘を'損なう(spoil)"
marginal,ごくわずかな；ささいな；限界の,ˈmɑrʤənəl,"縁の,へりの / 限界の,ぎりぎりの,かろうじて要件を満たす / 《名詞の前にのみ用いて》余白に書いた,欄外の / かろうじて帳じりの合う,限界収益点の / 取るに足りない,小さな"
marketable,市場性,ˈmɑrkətəbəl,"(商品が)売れやすい,市場向きの;売買上の"
marketer,マーケティング担当者,ˈmɑrkətər,市場で生産物を売買する人(会社)
marketplace,市場,ˈmɑrkətˌpleɪs,"市の開かれる広場(建物) / 商業界,財界"
materially,実質,məˈtɪriəli,"物質的に,物理的に;肉体的に / 実質的に / 大いに,著しく"
mathematical,数学の,ˌmæθəˈmætɪkəl,"数学の,数学的 / (非常に)正確な"
matrix,マトリックス；配列；細胞間質；基盤,ˈmeɪtrɪks,"（複数形 matrices, ～・es）(発生・成長の)母体 / 鋳型・模型;(レコードの)原盤;(活字の)母型,字母 / (金属・化石・宝石などの含んだ)母岩・《古》子宮・基盤; (細胞)細胞間質; (地学)基質; (印)字母; 紙型; 鋳型; (鉱)母岩; (数)行列; (コンピュータ)マトリックス (入力導線と出力導線の回路網); (言)母型文 （matrix sentence）"
maturity,成熟,məˈʧʊrəti,"成熟,円熟;完成 / (手形などの)満期"
maximization,最大化,ˌmæksɪmɪˈzeɪʃən,
maximize,最大化する,ˈmæksəˌmaɪz,…‘を'最大限にする
meaningful,重要,ˈminɪŋfəl,"有意義な,意義のある"
meantime,その間に,ˈminˌtaɪm,『その間に』 / その同じ時に;一方では / 『合間』
mechanical,機械的,məˈkænɪkəl,"『機械の』,道具の;機械(道具)を必要とする / 機械仕掛けの,機械操作の,機械製の / 機械に適した,機械向きの;(人・行動などが)機械的な,自動的な"
media,メディア,ˈmidiə,mediumの複数形
median,中央値,ˈmidiən,"中央の,中間の / 中間数の,中央値の / (統計・数学で)中間数,中央値;中点"
memo,連絡票；連絡メモ；メモ用紙,ˈmɛˌmoʊ,"メモ,覚え書き / (会社内などの)連絡メモ"
memorandum,連絡票；覚書契約書；定款；報告書,ˌmɛməˈrændəm,"メモ,覚え書き / (会社内などの)連絡メモ,回覧,回報 / (契約・取引きなどの条件の)要約,摘要書;(会社の)定款(ていかん)"
mentor,師匠,ˈmɛnˌtɔr,"指導者,師・（良き）助言者,顧問"
merchandise,商品,ˈmɜrʧənˌdaɪz,(集合的に)『商品』(goods) / …‘を'売買する / (広告などをして)…‘の'販売を促進する / 商売をする
merchant,商人,ˈmɜrʧənt,"(比較的大規模に商品を扱う)『商人』;貿易商 / 『小売商人』(storekeeper) / 商業の,商人の / 商船の"
merge,合併する；一つになる；同化する,mɜrʤ,"〈会社・組織が〉合併する,合体する;(…と)合併する《+『with』+『名』》 / (…に)溶け込む,しだいに変わる《+『into』(『in』)+『名』》 / 〈会社・組織〉‘を'合併する,合体する;(…と)…‘を'合併する《+『名』+『with』+『名』》"
merger,合併,ˈmɜrʤər,(特に二つ以上の会社・組織の)吸収合併
merit,値する,ˈmɛrət,"〈U〉『価値』,優秀さ;〈C〉《しばしば複数形で》(賞賛・ほうびに値する)功績,手柄,美点 / 〈C〉《複数形で》(訴訟などで,物事の)理非(問題になっている事柄そのものの良し悪し,ありのままの事実) / 〈賞・罰・非難など〉‘に'値する"
methodology,方法論,ˌmɛθəˈdɑləʤi,
metric,メートル法の,ˈmɛtrɪk,メートル法の / =metrical
micro,小；微小；100万分の１,ˈmaɪˌkroʊ,
mid,中央の；中部の,mɪd,=amid
migrant,移民,ˈmaɪgrənt,移住者;渡り鳥 / 渡り歩く(migratory)
migration,移動,maɪˈgreɪʃən,"〈U〉〈C〉移住,(動物の)移動 / 〈C〉《集合的に》(人・動物などの)移動の群"
mild,軽い；ちょっとした；穏やかな,maɪld,"(人,人の気性・態度などが)『柔和な』,ものやわらかな,温和な / (程度・力・効果などが)『適度な』,ほどよい / (病気などが)そんなにひどくない,軽い / (気温が)おだやかな / (味・においが)強くない,ぴりぴりしない"
milestone,重要な出来事；標石；マイルストーン,ˈmaɪlˌstoʊn,"(次の町までの距離を示すために道ばたに立てられた)里程標 / (歴史・人生での)重大なでき事,重大事件"
militant,好戦的な,ˈmɪlətənt,"(目的・主義のために)攻撃的な,好戦的な,闘争的な / 好戦的な人,闘争家"
militia,民兵,məˈlɪʃə,"《the ~》国民軍,市民軍(軍事訓練を受けるが非常事態にのみ召集される)"
mill,"製粉場；工場；製粉機,ひきうす；粉砕器；製粉する；粉砕する",mɪl,"『製粉所』 / 『製粉機』;(手動の)ひき器 / 製造所,工場 / 〈穀物・コーヒーなど〉‘を'ひいて粉にする,製粉する / 〈金属・鋼鉄〉‘を'圧延機(断裁機,打出機など)にかける / 〈貨幣など〉‘の'へりにぎざぎざをつける / 〈家畜・人の群れが〉目的もなくうろうろする;ぞろぞろ歩く《+『about(around)』》"
mineral,鉱物；鉱石；無機物,ˈmɪnərəl,"(動植物に対して)『無機物』 / 『鉱物』,鉱石 / 《複数形で》《英》炭酸水,清涼飲料(mineral water) / 鉱物の,鉱物質を含む"
mini,極小の；小型の,ˈmɪni,ミニスカート / ミニカー / (一般に)小型の物
minimal,最小の,ˈmɪnəməl,"最小の,極小の,最近の"
minimize,最小限にする；見くびる；軽視する,ˈmɪnəˌmaɪz,"…‘を'最小限にする / …‘を'過小評価する,軽視する"
ministry,省,ˈmɪnəstri,"〈U〉《the~》牧師の職 / 《the~》《集合的に》聖職者,牧師(clergy) / 〈C〉(英国・欧州諸国・日本などの)『省』;省の建物 / 〈C〉《通例単数形で》大臣(公使)の職(任期) / 〈C〉《しばしばthe M-》『内閣』,閣僚たち"
minus,マイナス,ˈmaɪnəs,"…を引くと,を減ずると / 《話》…なしで,を失って,のない(without) / 『マイナスの』,負の(negative) / 《名詞の後にのみ用いて》…より少し低い(小さい,劣る) / ゼロ以下の / (また『minus sign』)負号,マイナス記号 / 負数"
mislead,誤解,mɪsˈlid,"〈人〉‘を'誤って道案内する / 〈人〉‘を'誤らせる,誤解させる"
missile,ミサイル,ˈmɪsəl,"『ミサイル』,ロケット弾 / 《文》飛び道具(石,矢,投げやりなど)"
mister,さん；だんな；あんた,ˈmɪstər,"《M-》…『さん』,…氏,…様,…殿,…先生 / 《話》《単独で呼び掛けとして用いて》あなた,君,だんな / 〈C〉…さんと呼ばれるだけの人,普通の人"
misunderstand,誤解,ˌmɪsəndərˈstænd,"…‘を'誤解する,思い違いをする / 誤解する"
mitigate,"を和らげる,静める,緩和する；〈刑罰など〉を軽減する",ˈmɪtəˌgeɪt,"〈苦痛・怒りなど〉‘を'和らげる,鎮める;〈刑罰など〉‘を'軽くする"
mobility,可動性,moʊˈbɪləti,"可動性,流動性,変わりやすさ;(軍隊の)機動力"
modest,控えめ,ˈmɑdəst,"『謙そんした』,謙虚な;控え目な / (特に女性について)品のいい,しとやかな / じみな,質素な(simple) / (量・規模・程度が)中ぐらいの,並の(moderate)"
modification,変形,ˌmɑdəfəˈkeɪʃən,"〈棟〉修正,変更)した(された)もの / 〈U〉〈C〉(文法で)修飾"
mold,"型；型に入れて作ったもの；性格, 性質；型に入れて作る；形作る；ぴったり合わせる",moʊld,"沃土(よくど),肥土,耕土"
molecule,分子,ˈmɑləˌkjul,分子《略》『mol』) / (一般に)(…の)微量《+『of』+『名』》
momentum,弾み,moʊˈmɛntəm,"〈U〉〈C〉運動量(運動する物体の質量と速度の相乗積) / 〈U〉(一般に)勢い,はずみ"
monetary,金銭的な,ˈmɑnəˌtɛri,"貨幣の,通貨の / 金銭上の;金銭についての"
monopolist,独占企業,məˈnɑpələst,"独占者,専売者"
monopoly,独占,məˈnɑpəli,"〈U〉〈C〉《単数形で》(事業などの)『独占』,(商品の)『専売』;(一般に)(…の)独占,占有《+『of』+『名』》 / 〈C〉(国家・特許などによる)(…の)『独占権,専売権』《+『of』(『on』)+『名』》 / 〈C〉独占企業,専売会社(公社) / 〈C〉(独占の対象となる)専売品,専売業,独占事業"
morale,士気,məˈræl,"(軍隊・国民の)士気,風紀"
mosque,モスク,mɑsk,イスラム教寺院(外部に数個の尖塔(せんとう)がある独特の建築物)
motive,動かす,ˈmoʊtɪv,"(…の)『動機』,誘因,目的《+『for(of)』+『名』(do『ing』)》 / =motif / 運動の;運動に関する;運動を起こす"
multi,マルチ；多数；多数倍の,ˈmʌlti,
multinational,多国籍,ˌmʌlˌtaɪˈnæʃənəl,多国籍企業(多数の国に系列会社を持つ巨大企業)・多国籍の / 多国籍企業の
multiplier,乗数,ˈmʌltəˌplaɪər,増加(増殖)させる人(物) / 乗数
multiply,【動/他】を(大幅に)増やす；を掛ける；繁殖させる；【副】多くの要素から成って；多くの方法[点]で,ˈmʌltəˌplaɪ,"…‘を'『増す』,ふやす;…‘を'繁殖させる / (ある数を)〈ある数〉‘に'『掛ける』《+『名』〈被乗数〉+『by』+『名』〈乗数〉》 / 〈数・量などが〉『ふえる』,増大する;繁殖する / 掛け算をする"
municipal,市立,mjuˈnɪsəpəl,"『市の』,『町の』,地方自治体の;市政の;市営の,市立の"
mutually,互いに,ˈmjuʧuəli,相互に
myth,神話,mɪθ,"〈C〉(個々の)『神話』,神代物語;〈U〉《集合的に》神話 / 〈C〉神話的な人(物・事) / 〈C〉作り話,伝説;(…という)作り話《+『that節』》"
namely,つまり,ˈneɪmli,"『すなわち』,つまり(that is to say)"
nasty,不快な,ˈnæsti,"『意地悪な』,卑劣な / 『不快な』,いやな(unpleasant) / みだらな,下品な / 厄介な,ひどい"
nationalism,ナショナリズム；国家主義；国粋主義,ˈnæʃənəˌlɪzəm,"愛国心;国家主義 / (植民地などの)典族芝義,独立自治主義"
nationalist,民族主義者,ˈnæʃənələst,国家(国粋)主義者 / 民族独立主義者 / 国家(国粋)主義の;民族独立主義の
nationalize,国有化する,ˈnæʃənəˌlaɪz,"〈土地・産業など〉‘を'国有化する / …‘を'全国的にする,国家的にする"
nationwide,全国の,ˈneɪʃənˈwaɪd,全国的な
necessity,必要性,nəˈsɛsəti,"〈U〉《時にa ~》『必要』,必要性;必然,当然のこと・必要品〈C〉《しばしば複数形で》(…に)『どうしても必要なもの』,(…の)必需品《+『of』(『for, to』)+『名』》 / 〈U〉(貧乏・不幸などによる)困窮,窮乏"
negligence,怠慢,ˈnɛgləʤəns,"(習慣的な)『怠慢』,不注意,落ち度;(法律で)過失 / 『むとんじゃく』,だらしなさ"
negotiable,交渉の余地のある；面談の上の；通過できる,nəˈgoʊʃəbəl,交渉できる / (手形などが)譲渡できる / 《話》(障害・困難などが)乗り越えられる
negotiator,交渉人；譲渡者,nəˈgoʊʃiˌeɪtər,"交渉者,協定者 / (小切手などの)譲渡者"
neo,ネオ；新しい；近代の；復活した,ˈnioʊ,
neutral,中性,ˈnutrəl,"『中立の』;中立国の / 『公平な』,不偏不党の / (人・物が)特色のはっきりしない;(色が)はっきりしない,くすんだ / (酸性でもアルカリ性でもない)中性の / (電気が)中性の,(物体が)帯電していない / (自動車などのギアが)ニュートラルの / (文法で)中性の / 〈C〉(戦争・論争などで)中立の人;中立国民;中立国 / 〈C〉くすんだ色,灰色 / 〈U〉(自動車などのギヤの)ニュートラル(動力のかかっていない状態・位置)"
newcomer,新しく来た人；新たに出現したもの,ˈnuˌkʌmər,"(…に)新しく入った人,新入者《+『to』+『名』》"
newsletter,公報；社報；会報,ˈnuˌzlɛtər,"(定期講読者向けの)時事通信;社報,公報,回報,PR誌"
niche,適所；すきま市場；壁龕,nɪʧ,"壁がん(像・花びんなどを置く壁のくぼみ) / (…に)ふさわしい場所(地位,仕事),適所《+『for』+『名』》"
node,ノード；結び目；節点；交点；節,noʊd,"(茎・幹の)節(ふし) / (体組織にできた)結節,こぶ(リンパ瘤(りゅう)など) / (天体の軌道の)交点 / (物事の)中心点"
nominal,名目,ˈnɑmənəl,"名目上の,名義だけの / (実際の価値に比べて)ごくわずかの,おしると程度の / 名詞の,名詞として用いられた"
nominate,推薦する；任命する,ˈnɑmənət,"(…の候補者として,…に)…‘を'『指名する』《+『名』+『for』+『名』》 / (…に)…‘を'『任命する』(appoint)《+『名』+『to』(『as』)+『名』》"
nomination,指名,ˌnɑməˈneɪʃən,"指名[権],任命[権];(…を…に)指名(任命)すること《+『of』+『名』+『to』+(『as, for』)+『名』》"
non,ノン；非；無,nɑn,
nonetheless,それにもかかわらず,ˌnʌnðəˈlɛs,『それでもなお』
norm,規範,nɔrm,"《しばしば複数形で》標準,規準;一般水準;(行動の)規範,ノルマ・基準量(値)"
notable,"注目に値する, 興味を引く；著名な,重要な,優秀な；著名人,名士,重要人物",ˈnoʊtəbəl,"『注目に値する』,目立った / 〈C〉著名人,名士"
notably,とりわけ,ˈnoʊtəbli,"著しく,際立って / 特に"
notify,知らせる；通知する,ˈnoʊtəˌfaɪ,"〈人〉‘に'『知らせる』,通報する(inform)"
null,法的効力のない；無効な；存在しない；空の,nʌl,"(法律上)無効の,効力のない / ゼロの,無価値の / (数学で集合が)空(から)の"
